X1,X2,Y
16,57,0
96,53,0
65,29,1
25,94,0
71,92,0
76,85,0
5,4,0
66,76,0
31,77,0
43,80,0
2,16,0
63,41,1
22,13,0
58,11,0
100,44,0
48,37,0
34,7,0
10,36,0
3,53,0
12,89,0
61,47,1
63,32,1
30,70,0
29,25,0
33,77,0
78,41,1
94,26,0
37,11,0
78,26,1
89,46,0
53,58,1
11,54,0
4,12,0
25,53,0
54,73,0
36,76,0
96,53,0
16,36,0
18,48,0
31,64,0
66,4,0
8,7,0
54,31,1
2,33,0
29,78,0
75,71,0
43,94,0
96,27,0
58,33,1
39,31,0
43,80,0
46,44,0
15,88,0
88,67,0
69,11,0
11,53,0
78,48,1
61,47,1
31,6,0
59,96,0
34,41,0
71,27,1
23,63,0
12,44,0
69,100,0
58,19,0
22,61,0
63,72,0
12,26,0
61,21,1
3,30,0
76,53,1
31,67,0
4,38,0
36,37,0
39,53,0
19,49,0
96,87,0
12,29,0
28,28,0
90,75,0
30,25,0
51,86,0
78,67,0
70,12,0
47,5,0
21,11,0
25,93,0
44,22,0
11,45,0
11,69,0
80,48,0
21,66,0
65,7,0
69,11,0
10,17,0
36,96,0
45,63,0
94,29,0
60,67,0
61,76,0
