X1,X2,Y
16,57,1
96,53,0
65,29,0
25,94,1
71,92,0
76,85,0
5,4,1
66,76,0
31,77,1
43,80,1
2,16,1
63,41,0
22,13,1
58,11,0
100,44,0
48,37,1
34,7,1
10,36,1
3,53,1
12,89,1
61,47,0
63,32,0
30,70,1
29,25,1
33,77,1
78,41,0
94,26,0
37,11,1
78,26,0
89,46,0
53,58,0
11,54,1
4,12,1
25,53,1
54,73,0
36,76,1
96,53,0
16,36,1
18,48,1
31,64,1
66,4,0
8,7,1
54,31,0
2,33,1
29,78,1
75,71,0
43,94,1
96,27,0
58,33,0
39,31,1
43,80,1
46,44,1
15,88,1
88,67,0
69,11,0
11,53,1
78,48,0
61,47,0
31,6,1
59,96,0
34,41,1
71,27,0
23,63,1
12,44,1
69,100,0
58,19,0
22,61,1
63,72,0
12,26,1
61,21,0
3,30,1
76,53,0
31,67,1
4,38,1
36,37,1
39,53,1
19,49,1
96,87,0
12,29,1
28,28,1
90,75,0
30,25,1
51,86,0
78,67,0
70,12,0
47,5,1
21,11,1
25,93,1
44,22,1
11,45,1
11,69,1
80,48,0
21,66,1
65,7,0
69,11,0
10,17,1
36,96,1
45,63,1
94,29,0
60,67,0
61,76,0
